	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11006638	0.8636363636363636	0.9545454545454546	1.0454545454545454	1.0681818181818181	0.9545454545454546	0.9090909090909091	1.1363636363636365	0.9545454545454546	1.0454545454545454	1.0	0.8636363636363636	1.0454545454545454	1.0909090909090908	1.0454545454545454	1.0454545454545454	1.0909090909090908	1.0454545454545454	1.0454545454545454	0.6818181818181818
SRR11100134	0.9	1.2	1.1	1.0	0.9	1.0	1.2	0.8	1.1	1.0	1.2	1.2	0.9	1.2	1.0	1.0	1.4	1.0	0.6
SRR11006806	1.0	1.0	1.0	1.0555555555555556	0.8333333333333334	1.0555555555555556	1.0	0.8333333333333334	1.1666666666666667	0.9444444444444444	1.0555555555555556	1.0555555555555556	0.9444444444444444	0.8888888888888888	1.1666666666666667	1.0555555555555556	1.2222222222222223	1.0555555555555556	0.9444444444444444
SRR11006608	1.0	0.9444444444444444	1.1111111111111112	0.9444444444444444	0.9444444444444444	1.0555555555555556	1.1111111111111112	0.8333333333333334	1.1111111111111112	1.1666666666666667	0.8888888888888888	1.2777777777777777	1.0555555555555556	1.0555555555555556	1.0555555555555556	1.1111111111111112	0.9444444444444444	1.1111111111111112	0.7222222222222222
SRR11100171	1.2	1.0	0.9	1.0	0.8	1.0	1.0	1.0	1.2	0.9	1.1	0.9	1.0	0.9	0.8	1.0	1.2	1.1	2.9
SRR11238006	1.0	0.6666666666666666	1.3333333333333333	1.0	1.0	1.3333333333333333	1.0	1.0	1.0	1.0	1.0	1.3333333333333333	1.6666666666666667	1.0	1.3333333333333333	1.3333333333333333	1.6666666666666667	1.0	0.6666666666666666
SRR11006824	1.0	0.9230769230769231	1.2307692307692308	1.1538461538461537	0.9230769230769231	0.7692307692307693	1.2307692307692308	1.3076923076923077	1.0769230769230769	0.9230769230769231	1.0	1.2307692307692308	0.8076923076923077	1.0769230769230769	1.1538461538461537	1.3846153846153846	1.0	1.0	0.9230769230769231
SRR11006932	1.105263157894737	0.8157894736842105	1.0	1.0	1.0	1.1578947368421053	0.9473684210526315	0.8421052631578947	0.9473684210526315	1.0	0.9473684210526315	1.0	1.0526315789473684	1.0	0.9473684210526315	1.1578947368421053	1.0789473684210527	0.9473684210526315	0.9473684210526315
SRR11237944	1.0	1.0	0.875	1.1875	1.0	0.875	0.75	0.875	0.75	0.875	0.875	1.0	1.125	0.75	1.125	0.875	1.0	1.125	0.75
SRR11006736	1.1176470588235294	0.9411764705882353	1.1764705882352942	0.7647058823529411	0.9411764705882353	1.0	1.0588235294117647	0.8235294117647058	1.0	1.0	1.0588235294117647	1.1764705882352942	1.2352941176470589	0.9411764705882353	1.1176470588235294	1.1764705882352942	0.8823529411764706	1.0588235294117647	0.9411764705882353
SRR11237929	1.0	0.7	1.1	1.2	0.9	0.9	1.0	1.1	1.0	1.0	1.0	1.1	1.0	1.0	1.1	0.9	1.2	0.9	0.6
