	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11237965	1	1	1	1	-1	1	1	1	0	0	0	1	1	1	1	1	1	1	2
SRR14333862	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0
SRR11006906	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006665	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0
SRR11006528	1	1	1	1	-1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006759	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006621	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006620	1	1	1	1	1	1	1	1	0	0	-1	0	1	1	1	1	1	1	0
SRR11196650	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	1
SRR11237966	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1
SRR11006646	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006953	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006850	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006760	1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006948	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0
SRR11006717	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006643	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	-1	1	1	0
SRR11006490	1	1	-1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006742	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006882	1	1	-1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006757	1	1	-1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0
SRR11006537	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006512	1	1	1	1	1	1	1	1	0	-1	0	1	0	1	1	1	1	1	0
SRR11006820	1	1	1	1	1	1	1	1	-1	0	0	1	0	1	1	0	1	1	0
SRR11196674	1	1	0	1	1	1	1	0	0	0	-1	1	0	1	1	1	1	1	0
SRR11100191	-1	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11238010	1	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006603	1	1	1	1	1	1	-1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11196643	1	1	1	1	1	1	1	-1	0	0	0	1	0	1	1	1	1	1	1
SRR11006923	1	1	1	-1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006725	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11100146	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11196651	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	2
SRR11006691	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11196672	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006520	1	1	1	1	-1	1	1	1	0	0	0	1	0	1	1	1	1	0	0
SRR11006542	1	1	1	1	1	1	1	1	1	0	-1	1	0	1	1	-1	1	1	0
SRR11006746	1	1	1	1	1	1	1	0	0	0	0	1	-1	1	1	1	1	1	0
SRR11006503	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0
SRR11100136	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0
SRR11006797	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11100203	0	1	1	1	1	1	1	1	0	0	-1	1	0	1	1	1	1	1	0
SRR11006861	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR14333876	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
SRR11100166	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006488	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006609	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0
SRR11237975	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006815	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11237952	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	2
SRR6313632	1	-1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006710	1	1	1	-1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR14333891	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR5562858	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006552	1	1	1	1	1	1	1	1	0	0	0	1	-1	1	1	1	1	1	0
SRR11006676	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0
SRR11237940	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	2
SRR11006651	1	1	1	1	1	1	1	1	1	0	0	1	-1	1	1	1	1	1	0
SRR11006690	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006695	1	1	1	1	1	1	1	-1	1	0	0	1	0	1	1	1	1	1	0
SRR11006786	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
