SampleID	Country	SubRegion	Region	Location	VSSC  median coverage	ACE1  median coverage	GSTE2  median coverage	GABA  median coverage
SRR11006872	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	0.9285714285714286	0.9285714285714286	0.9285714285714286	0.75
SRR11006873	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	1.08	0.96	0.88	0.8
SRR11006874	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	1.0	1.1304347826086956	1.1304347826086956	0.9130434782608695
SRR11006875	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	0.8636363636363636	1.1363636363636365	0.7272727272727273	1.0
SRR11006877	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	0.9166666666666666	0.875	0.75	0.8333333333333334
SRR11006878	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	0.9629629629629629	0.9814814814814814	3.1481481481481484	1.0
SRR11006879	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	1.0	0.9444444444444444	0.6111111111111112	1.0
SRR11006880	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	1.0416666666666667	0.7916666666666666	0.875	0.9583333333333334
SRR11006881	Uganda	Uganda	West and Central Africa	Uganda: Entebbe	1.0	0.8888888888888888	0.7222222222222222	0.8888888888888888
SRR11006882	Uganda	Uganda	West and Central Africa	Uganda: Karenga	0.9523809523809523	1.0714285714285716	0.5714285714285714	0.9047619047619048
SRR11006883	Uganda	Uganda	West and Central Africa	Uganda: Karenga	1.0666666666666667	1.1333333333333333	0.7333333333333333	1.0666666666666667
SRR11006884	Uganda	Uganda	West and Central Africa	Uganda: Karenga	0.95	1.1	1.05	1.05
SRR11006885	Kenya	West Kenya	East Kenya and South Africa	Kenya: Virhembe	1.0833333333333333	1.125	1.0208333333333335	0.9166666666666666
SRR11006887	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.0555555555555556	0.8333333333333334	1.1111111111111112
SRR11006888	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.1666666666666667	0.6111111111111112	1.0555555555555556
SRR11006889	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	1.0	1.0526315789473684	2.5	0.9210526315789473
SRR11006890	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0769230769230769	1.3461538461538463	0.7692307692307693	0.8461538461538461
SRR11006891	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	0.8333333333333334	0.6666666666666666	1.0
SRR11006892	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	0.9565217391304348	1.0	0.8260869565217391	1.0
SRR11006893	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0526315789473684	0.9473684210526315	0.7894736842105263	1.0
SRR11006894	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0625	1.1875	0.75	1.0
SRR11006895	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.0666666666666667	0.8	0.8666666666666667
SRR11006896	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0526315789473684	1.105263157894737	0.8421052631578947	0.8947368421052632
SRR11006897	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.0833333333333333	0.75	0.6666666666666666
SRR11006898	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0	1.125	0.75	1.0
SRR11006899	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0625	1.0625	0.6875	1.03125
SRR11006900	Thailand	Thailand	Americas, East Kenya and others	Thailand: Bangkok	0.9	0.95	3.925	0.95
SRR11006901	Kenya	West Kenya	West and Central Africa	Kenya: Virhembe	1.0666666666666667	0.9333333333333333	0.7333333333333333	1.0
